==7910== NVPROF is profiling process 7910, command: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==7910== Profiling application: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==7910== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",19.182515,17.449586,135,0.129256,0.040801,0.383948,"maxwell_sgemm_128x64_tn"
"GPU activities",14.048901,12.779737,135,0.094664,0.030529,3.829147,"sgemm_128x128x8_TN_vec"
"GPU activities",9.173892,8.345132,131,0.063703,0.024001,0.175430,"sgemm_32x32x32_NN_vec"
"GPU activities",5.770845,5.249513,2,2.624756,0.197127,5.052386,"sgemm_128x128x8_NN_vec"
"GPU activities",4.603146,4.187302,1,4.187302,4.187302,4.187302,"sgemm_128x128x8_NT_vec"
"GPU activities",2.912264,2.649173,1,2.649173,2.649173,2.649173,"void mshadow::cuda::MapPlanLargeKernel<mshadow::sv::saveto, int=8, int=1024, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::minus, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::BinaryMapExp<mshadow::op::div, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square_root, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2, int)"
"GPU activities",2.498835,2.273093,72,0.031570,0.010465,0.057378,"void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::left, int=2>(int, int, bool, float const *, float const , float const , mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::left, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, mshadow::Shape, mshadow::Shape, mshadow::Shape, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)"
"GPU activities",2.167422,1.971619,54,0.036511,0.013153,0.079266,"sgemm_32x32x32_NT_vec"
"GPU activities",1.653346,1.503984,1,1.503984,1.503984,1.503984,"void mshadow::cuda::SoftmaxKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=2, unsigned int)"
"GPU activities",1.563181,1.421965,18,0.078998,0.075522,0.081890,"maxwell_sgemm_128x64_nn"
"GPU activities",1.392916,1.267081,24,0.052795,0.001504,0.366732,"void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::minus, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::BinaryMapExp<mshadow::op::div, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square_root, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)"
"GPU activities",1.331638,1.211339,108,0.011216,0.002369,0.020736,"void mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::identity>(int, bool, float const *, mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::identity>*, mshadow::Shape<int=2>, mshadow::Shape)"
